Oda Sayısı,Kişi Sayısı,Havuz,WiFi,Kahvaltı,Günlük Fiyat,Ev Tipi_oda,Ev Tipi_villa,Konum_şehir merkezi
6,9,1,1,0,810,False,False,True
7,4,1,0,1,510,True,False,False
5,8,1,1,0,780,False,True,False
1,9,0,1,0,760,False,True,True
1,13,1,0,0,600,True,False,True
3,9,0,1,0,550,True,False,True
2,10,0,0,0,590,False,True,False
5,4,0,1,0,390,True,False,False
6,1,0,0,0,330,True,False,False
7,3,0,0,1,800,False,True,True
4,9,0,1,1,550,False,False,False
7,4,1,0,1,610,False,False,False
8,5,0,0,0,660,False,True,False
1,7,1,0,1,670,False,True,False
6,5,0,0,0,520,True,False,True
8,4,0,1,1,630,True,False,True
5,2,1,1,0,720,False,False,True
4,2,0,0,0,550,False,False,True
2,13,1,1,0,770,False,False,True
6,13,0,1,1,930,False,True,True
6,4,0,1,1,690,False,True,False
1,10,0,1,0,620,False,True,False
9,13,1,0,0,760,True,False,True
6,10,0,1,1,750,False,False,True
3,13,1,1,1,670,False,False,False
4,9,0,0,1,650,False,True,False
4,8,1,1,1,690,True,False,True
3,3,0,1,0,340,True,False,False
3,14,1,1,0,650,False,False,False
3,9,0,1,1,530,False,False,False
4,14,0,1,0,620,True,False,True
7,5,0,1,0,590,True,False,True
4,11,1,0,1,770,False,True,False
9,3,1,0,0,610,False,False,False
1,5,1,1,0,670,False,True,False
8,13,0,1,0,790,False,False,True
7,10,1,0,0,690,True,False,True
2,13,0,1,1,700,False,True,False
8,4,1,1,0,800,False,True,False
1,8,0,0,1,580,False,True,False
9,13,0,1,1,990,False,True,True
9,12,1,1,1,930,False,True,False
2,5,1,0,0,390,True,False,False
7,10,0,0,1,720,False,False,True
3,12,1,1,1,560,True,False,False
7,8,1,1,1,850,False,False,True
9,9,0,1,0,520,True,False,False
4,4,0,1,1,500,False,False,False
1,7,0,1,0,740,False,True,True
2,2,1,0,1,390,True,False,False
1,6,0,1,1,760,False,True,True
5,8,0,0,0,480,False,False,False
5,12,0,0,1,550,False,False,False
7,7,1,0,1,940,False,True,True
9,7,0,1,1,780,False,True,False
9,8,1,1,1,890,False,False,True
3,7,1,0,0,830,False,True,True
3,5,0,1,0,360,True,False,False
3,7,0,1,0,380,True,False,False
4,13,1,1,0,960,False,True,True
8,14,0,0,0,750,False,False,True
6,10,0,1,0,570,False,False,False
8,3,1,1,0,940,False,True,True
1,5,0,0,0,270,True,False,False
8,7,1,1,1,710,False,False,False
4,9,1,0,0,570,False,False,False
1,2,0,1,1,570,False,True,False
8,4,0,0,1,580,True,False,True
4,12,1,0,1,930,False,True,True
6,7,1,1,1,720,True,False,True
8,1,0,0,1,400,True,False,False
4,13,1,1,0,810,False,False,True
3,2,1,0,1,660,False,True,False
9,9,1,0,0,720,True,False,True
3,13,1,1,0,540,True,False,False
9,10,1,0,0,980,False,True,True
2,7,1,1,0,460,True,False,False
2,12,0,0,0,460,False,False,False
2,10,0,1,0,640,False,False,True
6,7,1,0,0,590,False,False,False
3,6,0,0,0,570,False,False,True
9,3,1,1,1,690,False,False,False
4,10,0,1,1,860,False,True,True
1,3,1,1,0,550,True,False,True
4,2,0,0,0,700,False,True,True
1,11,0,0,1,360,True,False,False
5,6,1,1,1,790,False,False,True
4,4,0,1,1,800,False,True,True
8,5,1,1,0,710,True,False,True
8,3,1,0,0,640,True,False,True
7,6,1,0,1,780,False,True,False
3,11,0,0,1,550,True,False,True
1,12,1,1,1,620,False,False,False
1,3,1,1,0,650,False,True,False
3,14,1,0,0,900,False,True,True
6,14,0,1,1,540,True,False,False
7,8,0,0,0,420,True,False,False
6,9,1,0,1,690,True,False,True
6,4,0,0,0,610,False,True,False
6,9,0,1,1,890,False,True,True
3,12,1,0,1,910,False,True,True
6,7,0,1,0,690,False,False,True
8,3,0,1,1,620,True,False,True
2,7,0,0,0,560,False,True,False
5,14,1,0,0,790,False,True,False
1,1,0,1,1,560,False,False,True
1,3,0,0,0,650,False,True,True
5,6,1,1,1,790,False,False,True
3,4,0,0,1,330,True,False,False
4,7,0,0,0,600,False,True,False
3,14,1,1,0,700,True,False,True
1,3,1,0,0,450,False,False,False
1,1,0,0,1,510,False,True,False
5,9,0,0,0,540,True,False,True
6,6,1,1,1,710,True,False,True
3,8,1,1,0,640,True,False,True
9,3,1,1,0,660,False,False,False
5,8,1,1,1,710,True,False,True
8,2,0,1,1,710,False,False,True
1,12,0,1,0,640,False,True,False
5,4,1,1,1,670,True,False,True
3,3,1,1,0,540,False,False,False
1,10,0,0,0,470,True,False,True
4,1,1,0,0,640,False,False,True
5,13,1,1,1,860,False,True,False
7,13,0,0,0,720,False,True,False
1,7,1,1,1,620,True,False,True
3,11,0,1,1,700,False,False,True
2,10,0,1,0,390,True,False,False
9,2,0,1,0,450,True,False,False
6,4,0,0,1,790,False,True,True
3,9,0,0,1,630,False,False,True
8,6,0,1,0,620,True,False,True
8,8,1,0,1,820,False,True,False
2,2,1,1,0,510,False,False,False
6,7,1,1,1,670,False,False,False
7,6,1,1,1,730,True,False,True
2,13,1,0,1,500,True,False,False
2,14,1,0,1,910,False,True,True
1,9,0,0,1,590,False,True,False
8,7,0,1,0,730,False,False,True
1,1,0,0,1,510,False,True,False
9,14,1,0,0,720,False,False,False
6,8,1,0,0,500,True,False,False
7,11,1,1,1,780,True,False,True
7,10,0,1,1,670,True,False,True
3,3,0,0,0,540,False,True,False
2,14,0,1,0,830,False,True,True
9,2,1,0,0,750,False,True,False
8,12,1,1,0,880,False,True,False
7,3,0,1,1,450,True,False,False
9,11,1,0,1,620,True,False,False
4,6,1,1,0,640,True,False,True
4,13,1,1,0,960,False,True,True
1,14,0,0,1,640,False,True,False
8,3,0,1,0,690,False,False,True
3,10,1,0,0,710,False,False,True
7,5,1,0,1,520,True,False,False
2,6,0,1,1,630,False,True,False
2,8,1,1,1,900,False,True,True
7,7,1,1,0,810,False,True,False
6,14,1,1,1,890,False,True,False
3,11,1,0,0,870,False,True,True
9,8,1,1,1,790,True,False,True
6,3,0,0,1,780,False,True,True
6,4,1,1,1,540,True,False,False
1,6,0,0,1,710,False,True,True
4,11,0,1,1,720,False,True,False
6,7,0,1,1,870,False,True,True
6,9,0,1,1,740,False,True,False
5,13,1,1,0,730,True,False,True
1,1,0,0,0,480,False,True,False
8,13,0,1,1,570,True,False,False
5,8,0,1,0,830,False,True,True
5,8,0,1,1,860,False,True,True
7,6,1,0,0,500,True,False,False
4,4,1,1,1,750,False,True,False
6,3,1,1,0,600,False,False,False
4,11,0,1,0,440,True,False,False
3,3,1,1,1,870,False,True,True
7,6,1,1,0,700,True,False,True
8,13,0,0,0,640,True,False,True
4,8,1,1,0,660,True,False,True
2,7,0,0,1,340,True,False,False
3,11,0,0,1,650,False,True,False
1,1,1,0,1,610,False,True,False
8,11,1,1,0,770,True,False,True
3,6,1,0,1,700,False,False,True
7,7,0,1,0,560,False,False,False
5,12,0,0,0,670,False,True,False
5,7,0,1,0,670,False,False,True
7,9,1,1,0,980,False,True,True
9,11,1,0,1,770,True,False,True
5,11,1,0,1,790,False,True,False
1,10,1,1,0,620,True,False,True
1,5,0,0,1,700,False,True,True
2,1,0,0,1,430,True,False,True
6,2,0,0,0,340,True,False,False
9,4,0,1,1,750,False,False,True
8,5,0,1,1,890,False,True,True
5,9,1,0,0,490,True,False,False
1,11,1,0,1,710,False,False,True
7,1,1,1,0,600,False,False,False
5,3,0,1,1,660,False,False,True
6,5,1,1,1,650,False,False,False
7,3,1,1,1,550,True,False,False
3,4,1,1,0,850,False,True,True
3,14,0,1,1,630,True,False,True
5,3,0,0,1,760,False,True,True
6,4,0,1,0,510,False,False,False
9,14,0,1,0,970,False,True,True
5,13,0,1,0,880,False,True,True
1,13,1,1,1,780,False,True,False
4,1,0,0,1,420,False,False,False
5,12,1,0,1,700,True,False,True
5,8,1,0,1,760,False,False,True
7,4,1,1,1,560,True,False,False
4,7,1,1,0,650,True,False,True
1,2,1,0,1,620,False,True,False
5,2,0,1,0,770,False,True,True
7,6,0,1,0,450,True,False,False
6,14,1,1,0,610,True,False,False
5,2,1,0,0,670,False,False,True
4,6,0,1,1,670,False,False,True
2,11,1,0,0,600,True,False,True
4,2,1,1,1,630,True,False,True
3,4,1,0,1,530,False,False,False
1,7,1,1,0,690,False,True,False
8,8,0,0,0,690,False,True,False
5,3,1,1,0,880,False,True,True
4,14,0,0,1,550,False,False,False
8,13,0,1,1,720,True,False,True
7,9,1,1,0,830,False,False,True
2,2,1,0,0,360,True,False,False
1,8,1,1,0,600,True,False,True
4,8,1,1,1,640,False,False,False
8,13,1,0,0,840,False,False,True
2,14,0,1,0,530,False,False,False
3,4,0,0,0,400,False,False,False
1,1,1,0,0,430,False,False,False
1,13,1,1,1,680,True,False,True
3,1,0,1,0,420,False,False,False
5,2,0,1,0,620,False,True,False
3,14,0,1,0,700,False,True,False
1,12,1,1,0,640,True,False,True
1,14,1,0,1,490,True,False,False
8,9,1,0,0,650,False,False,False
2,13,0,0,0,620,False,False,True
3,2,0,1,0,580,False,False,True
2,2,0,1,1,740,False,True,True
3,6,1,0,1,700,False,True,False
7,7,1,0,0,910,False,True,True
1,13,0,1,0,400,True,False,False
8,7,1,0,0,530,True,False,False
2,13,0,1,0,420,True,False,False
3,9,1,1,0,500,True,False,False
9,6,1,1,1,870,False,False,True
7,14,1,1,1,1060,False,True,True
4,8,1,0,1,490,True,False,False
5,11,0,0,0,660,False,False,True
2,6,1,0,1,530,False,False,False
8,2,0,0,1,410,True,False,False
4,1,1,1,0,690,False,True,False
9,5,1,1,0,830,False,False,True
5,14,0,1,1,670,True,False,True
9,9,1,0,1,850,False,False,True
4,8,1,0,0,610,True,False,True
5,14,1,1,1,1020,False,True,True
9,13,0,0,0,910,False,True,True
8,4,1,0,0,650,True,False,True
3,5,0,0,0,560,False,False,True
1,13,0,0,0,500,True,False,True
3,5,0,0,1,590,False,True,False
4,6,1,0,1,570,False,False,False
2,3,1,0,1,400,True,False,False
1,5,0,1,1,350,True,False,False
7,2,0,0,0,610,False,True,False
8,10,1,1,1,740,False,False,False
7,1,1,1,0,900,False,True,True
5,11,0,0,0,660,False,True,False
1,1,0,1,0,680,False,True,True
7,10,1,1,1,720,False,False,False
7,7,1,0,1,790,False,True,False
9,2,1,0,0,750,False,True,False
3,4,1,1,0,550,False,False,False
9,5,0,0,0,680,False,True,False
1,7,0,1,0,440,False,False,False
1,2,1,0,0,740,False,True,True
4,14,0,1,0,720,False,False,True
9,6,0,1,0,740,False,True,False
6,1,0,1,1,660,False,True,False
3,7,0,0,0,430,False,False,False
1,9,0,1,1,540,True,False,True
4,5,1,1,0,630,True,False,True
9,5,1,0,0,630,False,False,False
3,4,0,0,0,550,False,True,False
9,3,1,0,1,790,False,False,True
7,9,0,1,1,760,False,False,True
4,5,0,1,0,530,True,False,True
3,8,0,0,0,340,True,False,False
5,9,0,1,1,620,True,False,True
5,5,0,0,0,500,True,False,True
3,10,1,0,1,640,True,False,True
9,9,0,1,0,620,False,False,False
4,2,0,0,0,450,True,False,True
5,9,0,0,0,540,True,False,True
4,11,0,0,1,820,False,True,True
5,4,0,0,0,590,False,True,False
7,6,1,1,0,550,True,False,False
9,6,1,1,0,840,False,False,True
7,6,0,1,0,700,False,False,True
5,2,1,0,0,670,False,False,True
7,7,0,0,0,410,True,False,False
5,13,1,0,1,810,False,False,True
3,6,0,0,0,570,False,True,False
7,11,0,1,1,630,False,False,False
2,14,0,1,1,710,False,True,False
9,1,0,0,0,790,False,True,True
1,2,1,0,1,770,False,True,True
6,7,1,0,0,590,False,False,False
7,1,1,1,0,650,True,False,True
8,1,0,1,0,670,False,False,True
9,1,1,1,1,820,False,True,False
2,8,0,0,0,720,False,True,True
2,4,0,0,0,530,False,True,False
5,4,0,0,0,440,False,False,False
5,13,0,0,1,710,False,True,False
6,2,1,0,0,690,False,False,True
3,11,1,0,0,570,False,False,False
8,11,1,0,0,570,True,False,False
1,11,0,1,0,380,True,False,False
6,1,1,1,1,610,False,False,False
4,12,0,1,1,480,True,False,False
1,10,0,0,1,600,False,False,True
7,9,0,1,0,880,False,True,True
9,7,0,1,0,600,False,False,False
4,4,0,1,1,400,True,False,False
4,12,1,0,1,630,False,False,False
6,6,0,1,0,430,True,False,False
3,14,1,1,1,830,False,False,True
6,2,0,0,1,370,True,False,False
7,7,1,0,0,610,False,False,False
3,2,0,1,0,580,False,False,True
7,10,0,1,1,520,True,False,False
3,8,1,1,0,590,False,False,False
2,8,0,1,1,550,True,False,True
4,1,0,0,0,390,False,False,False
8,13,1,0,1,770,True,False,True
9,8,1,0,0,660,False,False,False
7,2,1,1,1,540,True,False,False
1,6,0,1,1,510,True,False,True
3,13,1,0,0,740,False,True,False
9,1,0,1,1,570,False,False,False
1,5,1,0,1,800,False,True,True
9,11,1,0,0,990,False,True,True
8,7,0,1,0,480,True,False,False
1,13,1,0,1,480,True,False,False
6,10,1,1,0,720,True,False,True
5,1,1,0,1,690,False,False,True
6,2,1,1,0,890,False,True,True
5,7,1,1,1,800,False,False,True
6,6,1,1,0,630,False,False,False
5,3,0,1,0,630,False,True,False
5,14,0,1,0,590,False,False,False
4,10,0,0,0,780,False,True,True
3,2,1,0,1,810,False,True,True
3,10,1,0,0,460,True,False,False
4,4,0,0,1,350,True,False,False
9,3,1,0,1,690,True,False,True
2,7,1,1,0,610,True,False,True
9,8,0,1,1,790,False,True,False
1,2,0,0,0,340,False,False,False
1,10,1,0,0,570,True,False,True
5,7,1,0,0,870,False,True,True
6,8,0,1,1,730,False,True,False
6,6,0,1,1,610,True,False,True
3,6,1,0,1,550,False,False,False
7,10,0,1,0,740,False,True,False
9,1,0,1,0,590,True,False,True
8,4,0,0,1,680,False,True,False
6,14,0,0,1,890,False,True,True
8,1,0,1,0,570,True,False,True
5,4,0,1,0,390,True,False,False
8,2,1,0,0,630,True,False,True
4,11,0,0,0,790,False,True,True
8,13,0,1,1,820,False,True,False
2,5,0,0,0,390,False,False,False
5,10,1,1,1,980,False,True,True
9,14,1,1,1,700,True,False,False
4,9,0,0,1,650,False,True,False
6,11,1,0,0,780,False,False,True
1,12,0,0,0,340,True,False,False
9,10,0,1,0,780,False,True,False
1,3,0,1,1,730,False,True,True
5,8,1,0,0,730,False,False,True
4,3,1,0,0,410,True,False,False
3,6,0,0,1,750,False,True,True
6,4,0,1,1,690,False,True,False
2,8,1,1,1,750,False,False,True
3,11,1,1,0,620,False,False,False
5,6,0,0,1,640,False,False,True
9,8,1,1,1,890,False,False,True
2,1,1,1,0,650,False,False,True
8,6,0,1,0,870,False,True,True
2,1,1,0,1,630,False,True,False
5,1,0,0,1,490,True,False,True
7,8,0,0,0,820,False,True,True
8,7,1,0,0,630,False,False,False
1,3,0,1,0,550,False,True,False
6,6,0,0,1,810,False,True,True
1,9,0,0,0,560,False,False,True
2,7,0,0,1,590,False,True,False
1,12,1,0,0,840,False,True,True
5,3,0,0,1,360,True,False,False
9,14,0,0,0,920,False,True,True
6,14,0,0,1,590,False,False,False
1,13,1,0,1,580,False,False,False
1,6,1,0,1,510,False,False,False
2,11,0,1,0,800,False,True,True
9,4,1,0,0,520,True,False,False
3,14,1,0,0,750,False,True,False
1,13,0,0,0,750,False,True,True
5,3,0,0,1,360,True,False,False
7,9,0,1,0,730,False,True,False
6,10,0,0,1,450,True,False,False
1,2,0,0,0,340,False,False,False
5,1,1,1,0,710,False,False,True
5,14,0,1,0,740,False,False,True
6,2,0,0,0,490,True,False,True
3,7,1,0,1,860,False,True,True
5,10,0,1,0,450,True,False,False
7,1,0,0,0,350,True,False,False
5,6,0,1,1,840,False,True,True
5,14,1,0,1,670,False,False,False
5,7,1,0,0,870,False,True,True
3,9,0,1,0,800,False,True,True
1,14,1,1,1,540,True,False,False
5,8,1,0,1,510,True,False,False
9,6,0,1,0,740,False,True,False
1,3,0,1,1,480,True,False,True
3,8,1,1,0,890,False,True,True
4,7,0,1,0,650,False,False,True
1,3,0,0,0,650,False,True,True
1,9,0,1,1,790,False,True,True
8,12,1,1,1,760,False,False,False
2,2,0,1,1,440,False,False,False
8,3,1,0,1,920,False,True,True
7,2,1,1,1,540,True,False,False
2,13,0,0,1,400,True,False,False
6,1,1,0,0,680,False,True,False
6,4,0,0,1,540,True,False,True
3,5,0,0,0,410,False,False,False
2,13,0,0,0,470,False,False,False
1,6,0,1,1,610,False,False,True
6,5,0,0,1,500,False,False,False
5,1,1,1,1,740,False,True,False
9,3,0,1,0,610,True,False,True
1,1,0,1,0,680,False,True,True
7,11,1,1,0,750,True,False,True
5,5,1,1,0,500,True,False,False
5,5,1,1,0,500,True,False,False
2,12,1,1,1,540,True,False,False
3,11,0,0,1,550,True,False,True
7,13,1,0,1,850,False,False,True
6,6,0,1,1,860,False,True,True
2,8,1,1,1,650,True,False,True
6,10,1,1,0,570,True,False,False
2,12,1,1,0,760,False,False,True
2,1,1,1,1,830,False,True,True
2,4,0,1,0,580,False,True,False
3,10,0,1,1,540,False,False,False
2,11,1,1,0,650,True,False,True
4,1,0,1,0,340,True,False,False
9,9,1,1,1,650,True,False,False
6,11,0,1,0,630,True,False,True
1,7,1,0,0,540,True,False,True
8,7,0,1,1,510,True,False,False
7,12,0,0,1,590,False,False,False
3,5,1,0,0,410,True,False,False
1,7,0,1,1,770,False,True,True
5,12,0,1,1,750,False,False,True
4,2,0,0,1,580,False,True,False
8,14,1,1,1,830,True,False,True
1,13,0,1,1,680,False,True,False
1,4,1,0,0,610,False,False,True
4,14,1,1,1,1000,False,True,True
8,14,0,0,0,750,False,False,True
5,7,0,0,0,470,False,False,False
2,3,0,0,0,370,False,False,False
6,2,0,1,0,540,True,False,True
5,10,1,1,0,550,True,False,False
2,2,1,1,1,690,False,True,False
3,13,1,0,1,770,False,False,True
9,1,1,1,1,820,False,True,False
7,5,0,0,1,670,False,False,True
7,12,1,1,0,760,True,False,True
6,6,0,1,0,530,False,False,False
8,6,1,0,1,550,True,False,False
4,9,0,0,1,400,True,False,False
8,4,1,1,1,830,False,False,True
4,1,1,1,1,620,True,False,True
8,6,1,1,1,850,False,True,False
9,5,0,1,1,660,True,False,True
3,10,0,0,1,640,False,True,False
3,6,1,0,1,700,False,False,True
2,3,1,1,0,820,False,True,True
3,2,1,1,0,430,True,False,False
3,6,1,0,0,520,False,False,False
5,13,0,0,1,710,False,False,True
5,1,1,0,1,690,False,False,True
2,7,1,0,1,840,False,True,True
6,7,0,0,1,820,False,True,True
5,10,0,0,0,400,True,False,False
6,13,0,1,0,750,False,False,True
1,7,0,0,1,420,False,False,False
5,12,1,1,1,1000,False,True,True
9,11,0,0,1,920,False,True,True
2,10,0,0,1,520,True,False,True
1,1,1,0,0,330,True,False,False
9,4,1,1,0,670,False,False,False
9,13,0,0,0,510,True,False,False
9,7,0,1,0,650,True,False,True
6,11,0,1,0,630,True,False,True
8,9,0,1,1,530,True,False,False
1,5,0,0,1,550,False,False,True
4,13,1,0,1,790,False,False,True
1,2,0,1,1,320,True,False,False
8,7,1,1,1,760,True,False,True
1,10,1,0,0,820,False,True,True
3,1,0,1,1,750,False,True,True
4,7,1,0,1,580,False,False,False
8,6,1,1,0,820,False,True,False
6,7,1,1,1,820,False,True,False
7,14,0,1,1,810,False,True,False
8,13,1,0,0,690,False,False,False
2,10,0,1,0,640,False,False,True
8,3,0,0,1,670,False,True,False
3,3,1,1,1,570,False,False,False
7,7,1,1,0,810,False,False,True
3,13,0,1,0,540,False,False,False
7,2,0,1,0,810,False,True,True
2,1,1,1,0,650,False,True,False
6,9,0,1,1,490,True,False,False
3,9,0,1,1,430,True,False,False
3,7,0,0,0,480,True,False,True
9,7,1,0,0,800,False,True,False
7,3,1,1,0,620,False,False,False
5,10,1,1,1,730,True,False,True
7,2,0,0,0,510,True,False,True
9,11,1,1,1,920,False,True,False
1,7,1,0,0,640,False,True,False
7,9,0,1,1,760,False,True,False
6,1,1,0,1,710,False,False,True
9,13,1,0,0,710,False,False,False
1,14,1,1,1,690,True,False,True
4,4,0,1,1,400,True,False,False
9,6,0,1,1,770,False,False,True
4,7,1,1,1,680,True,False,True
3,10,1,0,1,490,True,False,False
9,7,0,0,1,630,True,False,True
2,10,1,0,0,690,False,True,False
4,2,0,1,1,780,False,True,True
6,14,0,1,0,610,False,False,False
2,4,1,1,0,680,False,True,False
8,5,0,1,1,890,False,True,True
8,14,1,1,0,1050,False,True,True
1,12,0,0,1,370,True,False,False
3,1,1,0,1,550,True,False,True
9,1,0,1,0,690,False,True,False
5,10,1,0,0,600,False,False,False
6,3,0,0,0,600,False,False,True
4,10,1,1,1,960,False,True,True
2,3,0,1,1,350,True,False,False
8,12,1,1,1,910,False,False,True
6,8,0,0,1,680,False,False,True
5,9,0,0,1,670,False,False,True
9,14,0,1,0,570,True,False,False
1,11,0,1,1,510,False,False,False
5,12,1,1,0,570,True,False,False
6,1,1,1,1,910,False,True,True
5,14,1,0,1,970,False,True,True
6,11,1,0,1,560,True,False,False
6,2,1,0,1,720,False,True,False
7,10,1,0,1,720,True,False,True
4,2,1,1,0,700,False,True,False
8,4,1,1,0,950,False,True,True
7,2,1,0,1,740,False,False,True
9,7,1,1,1,730,False,False,False
7,13,0,0,0,470,True,False,False
3,9,1,0,0,600,True,False,True
3,7,1,0,1,710,False,True,False
8,12,1,0,0,830,False,False,True
5,6,0,0,1,640,False,False,True
4,10,0,1,0,830,False,True,True
8,1,0,0,1,650,False,False,True
6,11,0,1,0,580,False,False,False
2,10,0,0,1,470,False,False,False
4,9,1,0,1,500,True,False,False
4,5,1,0,1,560,False,False,False
6,11,0,0,1,860,False,True,True
6,5,1,0,1,600,False,False,False
1,6,1,0,0,630,False,True,False
8,9,1,1,0,750,True,False,True
6,13,0,1,0,600,False,False,False
3,8,0,0,0,590,False,True,False
9,8,1,0,1,690,False,False,False
2,14,0,1,1,860,False,True,True
